Title,Year,Id
E.T. the Extra-Terrestrial,,1719
Early Man,2018,2921
Earwig and the Witch,2020,2943
Easy A,,1562
Ed Wood,,567
Edge of Tomorrow,,447
Eiga Odd Taxi: In the Woods,2022,3708
Eight Crazy Nights,2002,2095
Eighth Grade,2018,3191
Elektra,,664
Elektra,2005,810
Elemental,2023,4156
Elf,,659
Elvira: Mistress of the Dark,1988,4332
Elvis,2022,3637
Elysium,,665
Emancipation,2022,3815
Emily,2022,3801
Emily the Criminal,2022,4439
Emma,1996,3371
Emma.,2020,1980
Empire of the Sun,1987,3919
Encanto,2021,3219
Enchanted,,301
Ender's Game,,314
Enemy at the Gates,2001,4056
Enola Holmes,2020,2140
Enola Holmes 2,2022,3759
Entergalactic,2022,3811
Epic,2013,10
Eragon,2006,2788
Eraser,1996,3859
Ernest & Celestine,2012,3609
Ernest Goes to Africa,1997,2841
Ernest Goes to Camp,1987,2843
Ernest Goes to Jail,1990,1958
Ernest Saves Christmas,1988,2845
Ernest Scared Stupid,1991,2844
Escaflowne: The Movie,,804
Escape from Planet Earth,2012,4165
Escape Room: Tournament of Champions,2021,2957
Eternal Sunshine of the Spotless Mind,2004,3083
Eternals,2021,3584
Eureka Seven Hi-Evolution: Anemone,2018,2772
Eureka Seven: Hi-Evolution 1,2017,2731
EuroTrip,2004,2011
Eurovision Song Contest: The Story of Fire Saga,2020,2031
Evan Almighty,2007,2840
Evangelion: 1.11 You Are (Not) Alone,2007,2747
Evangelion: 2.0 You Can (Not) Advance,2009,4112
Evangelion: 3.0 You Can (Not) Redo,,605
Evangelion: 3.0+1.01 Thrice Upon a Time,2021,2894
Everly,2014,4186
Everyone Says I Love You,,587
Everyone's Hero,2006,2760
Everything Everywhere All at Once,2022,3551
Evil Dead,2013,704
Evil Dead II,1987,3434
Evil Dead Rise,2023,3987
Evil Toons,1992,3497
Ex Machina,,454
Excalibur,1981,4042
Exodus: Gods and Kings,,398
Expend4bles,2023,4225
Extract,2009,3334
Extraction,2020,2966
Extraction II,2023,4085
Eyes Wide Shut,1999,3236
F9: The Fast Saga,2021,2916
FAFNER: HEAVEN AND EARTH,,1672
Fairy Tail: Dragon Cry,2017,2183
Fairy Tail: Priestess of the Phoenix,,1650
Fall,2022,3718
Falling Down,1993,4012
Falling for Christmas,2022,3794
"Family Guy: Something, Something, Something, Dark Side",,677
Fantasia,1940,125
Fantasia 2000,,127
Fantastic 4: Rise of the Silver Surfer,,1498
Fantastic Beasts and Where to Find Them,,1500
Fantastic Beasts: The Crimes of Grindelwald,,1832
Fantastic Beasts: The Secrets of Dumbledore,2022,3548
Fantastic Four,2005,2919
Fantastic Four,2015,419
Fantastic Mr. Fox,,382
"Farewell, My Dear Cramer: First Touch",2021,2773
Fargo,1996,3146
Fast & Furious,,666
Fast & Furious 6,,653
Fast & Furious Presents: Hobbs & Shaw,2019,1918
Fast Five,,657
Fast Times at Ridgemont High,,1718
Fast X,2023,4086
Fatal Fury: Legend of the Hungry Wolf,1992,4203
Fatal Fury: The Motion Picture,1994,3480
Fate Grand Order: The Grand Temple of Time,2021,3354
Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,2021,4412
Fate/Grand Order: First Order,,1574
Fate/Kaleid Liner Prisma Illya: The Movie - Oath Under Snow,2017,4395
Fate/stay night [Heaven's Feel] II. lost butterfly,2019,2667
Fate/Stay Night: Heaven's Feel - I. Presage Flower,2017,2666
Father Dear Father,1973,3782
Father Hood,1993,3513
Father Stu,2022,3549
Fathers & Daughters,2015,3260
Fatman,2020,2944
Fear and Loathing in Las Vegas,,553
Fear City,1984,4075
Fearless,2020,3028
Felix and the Hidden Treasure,2021,2640
Ferdinand,,1749
FernGully: The Last Rainforest,,1757
Ferris Bueller's Day Off,1986,2465
Fiddler on the Roof,1971,2158
Field of Dreams,1989,2459
Fifty Shades Darker,,1549
Fifty Shades Freed,,1759
Fifty Shades of Grey,,478
Fight Club,,678
Fighting with My Family,2019,3125
Final Fantasy VII: Advent Children,,217
Final Fantasy: The Spirits Within,2001,3467
Finch,2021,3102
Finding Dory,,703
Finding Nemo,2003,18
Fire and Ice,1983,1993
Fired Up!,2009,2112
First Cow,2019,3262
Fist of the North Star,1986,3509
Fit to Kill,1993,3390
Five Nights at Freddy's,2023,4213
Flash Gordon,,1630
Flashdance,1983,2447
Flatliners,2017,1695
Flavors of Youth,2018,2928
Flora & Ulysses,2021,2431
Flushed Away,,783
Focus,2015,3460
Footloose,,614
Ford v Ferrari,2019,1955
Forrest Gump,,479
Fortress,1992,3482
Fortune Favors Lady Nikuko,2021,3653
Fourth of July,2022,4346
Fragtime,2019,2426
Frankenhooker,1990,3015
Frankenweenie,,192
Freaks,1932,3341
Freaks of Nature,2015,4032
Freddy vs. Jason,2003,3447
Freddy's Dead: The Final Nightmare,1991,4216
Free Birds,,164
Free Guy,2021,2987
Freedom Fighters: The Ray,2018,4325
Friday the 13th,1980,1614
Friday the 13th Part 2,1981,3093
Friday the 13th Part VI: Jason Lives,1986,4454
Friday the 13th Part VIII: Jason Takes Manhattan,1989,4161
Friday the 13th: A New Beginning,1985,4301
Friends with Benefits,2011,3229
Fright Night,1985,4431
From Dusk Till Dawn,1996,3426
From Up on Poppy Hill,,321
Frosty the Snowman,1969,751
Frozen,,56
Frozen II,2019,3895
Full Metal Jacket,1987,3525
Fullmetal Alchemist the Movie: Conqueror of Shamballa,,623
Fullmetal Alchemist: The Sacred Star of Milos,,417
Fumoon,1980,3699
Fun and Fancy Free,,128
Fun Size,,717
Funny People,2009,2080
Furious 7,,652
Fuse: Memoirs of a Hunter Girl,2012,2822
Futurama: Bender's Game,2008,2521
Futurama: Into the Wild Green Yonder,2009,3589
G-Force,,758
G.I. Joe: Retaliation,2013,1997
G.I. Joe: The Movie,1987,3528
G.I. Joe: The Rise of Cobra,2009,1998
Galaxy Quest,,353
Gall Force: Stardust War,1988,4420
Gambit,,423
Gamer,2009,2582
Gangs of New York,,545
Gangster Squad,2013,4212
Gantz,2010,3662
Gantz: O,,1538
Gantz: Perfect Answer,2011,3576
Garden State,,586
Garfield,2004,381
Garfield 2: A Tail of Two Kitties,,773
Gas Pump Girls,1979,2495
Gator,1976,2587
Gattaca,1997,2563
Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,2020,2664
Gemini Man,2019,1935
Genocidal Organ,2017,2786
George of the Jungle,1997,1968
Get Smart,2008,383
Ghost Graduation,2012,2548
Ghost in the Shell,,1577
Ghost in the Shell,1995,1474
Ghost in the Shell: SAC_2045 Sustainable War,2022,3533
Ghost in the Shell: Stand Alone Complex - The Laughing Man,2005,2542
Ghost In The Shell: The New Movie,,606
Ghost Rider,2007,1480
Ghost Rider: Spirit of Vengeance,,1494
Ghost Ship,2002,4416
Ghostbusters,1984,281
Ghostbusters,2016,433
Ghostbusters II,,422
Ghostbusters: Afterlife,2021,3231
Ghostbusters: Frozen Empire,2024,4441
Ghoulies,1984,4453
Gia,1998,4069
Gigi,1958,3581
Gigli,2003,3323
Gintama: The Final,2021,2881
Giovanni's Island,,1658
Girl House,2015,735
Girl Lost,,1793
"Girl, Interrupted",1999,3192
Girls Gone Dead,2012,3377
Girls und Panzer the Movie,,588
Gladiator,,590
Glass,2019,3250
Glass Onion,2022,3871
Glory,1989,4126
Gnome Alone,2017,2927
Gnomeo & Juliet,,784
Go,1999,2037
Go! Princess Pretty Cure: Go! Go!! Splendid Triple Feature!!!,,739
Goblin Slayer: Goblin's Crown,2020,2045
Godzilla,2014,414
Godzilla Minus One,2023,4435
Godzilla vs. Kong,2021,2586
Godzilla x Kong: The New Empire,2024,4456
Godzilla: King of the Monsters,2019,1901
Godzilla: Planet of the Monsters,2017,2929
GoldenEye,,1464
Goldfinger,1964,3999
Gone Girl,2014,3087
Gone in 60 Seconds,2000,2695
Gone with the Wind,1939,2621
Good Burger,1997,3730
"Good Morning, Vietnam",1987,2804
Goodbye to Language,2014,3225
Goodfellas,,696
Goosebumps,2015,278
Gran Torino,2008,4011
Gran Turismo,2023,4233
Grandma's Boy,,1754
Grave of the Fireflies,,775
Grease,1978,3315
Grease 2,1982,4444
Green Book,2018,3080
Green Lantern,2011,4144
Green Lantern: Beware My Power,2022,3813
Green Lantern: Emerald Knights,,152
Green Lantern: First Flight,,151
Greenland,2020,2421
Gremlins,,786
Gremlins 2: The New Batch,,785
Grey Digital Target,1986,4469
Greyhound,2020,2416
Gridlock'd,1997,2865
Gridman Universe,2023,4214
Groundhog Day,,527
Grown Ups,,1526
Grown Ups 2,,1539
Guardians of the Galaxy,,296
Guardians of the Galaxy Vol. 2,,1586
Guardians of the Galaxy Vol. 3,2023,4125
Guess Who's Coming to Dinner,1967,3349
Guillermo del Toro's Pinocchio,2022,3817
Gumby: The Movie,1995,3638
Gunpowder Milkshake,2021,2996
Gunsmith Cats,1995,3499
Habfürdö,1980,4389
Hackers,1995,4149
Hacksaw Ridge,2016,3370
Hail Mary,1985,3331
Hair High,2004,3617
Hairspray,,300
Hall Pass,2011,4211
Halloween,1978,3012
Halloween,2007,4413
Halloween,2018,3442
Halloween 4: The Return of Michael Myers,1988,3443
Halloween 5: The Revenge of Michael Myers,1989,3444
Halloween Ends,2022,3757
Halloween H20: 20 Years Later,1998,3445
Halloween II,1981,3091
Halloween III: Season of the Witch,1982,3092
Halloween Kills,2021,3079
Halloween: Resurrection,2002,3446
Halloween: The Curse of Michael Myers,1995,4356
Halo: The Fall of Reach,2015,3078
Hamilton,2020,2959
Hancock,,774
Hansel & Gretel: Witch Hunters,,816
Happy Feet,,766
Happy Feet 2,,772
Happy Gilmore,1996,1927
Hard Ticket to Hawaii,1987,3374
Hardcore Henry,,540
Harmony,2016,738
Harold & Kumar Escape from Guantanamo Bay,,725
Harold & Kumar Go to White Castle,,480
Harry Potter and the Chamber of Secrets,,268
Harry Potter and the Deathly Hallows – Part 1,,279
Harry Potter and the Deathly Hallows – Part 2,,280
Harry Potter and the Goblet of Fire,,271
Harry Potter and the Half-Blood Prince,,276
Harry Potter and the Order of the Phoenix,,273
Harry Potter and the Philosopher's Stone,,267
Harry Potter and the Prisoner of Azkaban,,270
Harvey,1950,2711
Haunted Mansion,2023,4196
Hayate the Combat Butler Movie: Heaven Is a Place on Earth,2011,3877
Haywire,2011,4003
He's All That,2021,3202
He-Man and She-Ra: The Secret of the Sword,1985,3901
Heartbreak Ridge,1986,4219
Heat,1995,4181
Heathers,1989,2464
Heaven's Lost Property the Movie: The Angeloid of Clockwork,2011,4266
Heavenly Sword,2014,4384
Heavy Metal,,483
Heavy Traffic,1973,2046
Heidi's Song,1982,3543
Hellbound: Hellraiser II,1988,3435
Hellboy,2004,1954
Hellboy,2019,1887
Hellboy Animated: Blood and Iron,2007,4380
Hellboy Animated: Sword of Storms,2006,4374
Hellboy II: The Golden Army,,1852
Hello World,2019,2671
Hellraiser,1987,3112
Hellraiser,2022,3755
Hellraiser III: Hell on Earth,1992,3436
Hellraiser: Bloodline,1996,4307
Hells Angels,,612
Henry: Portrait of a Serial Killer,1986,4434
Her,2013,2530
Her Blue Sky,2019,2675
Hercules,,73
Hercules,,594
Hereditary,2018,2648
Hey Arnold! The Movie,2002,3394
Hey Arnold: The Jungle Movie,2017,3393
Hey Good Lookin',1982,4373
"Hey There, It's Yogi Bear",1964,4089
Hide and Seek,2005,4328
High Noon,1952,2610
High School Fleet the Movie,2020,4247
High Strung,,729
Higher Learning,1995,4071
Highlander,1986,2450
Hilda and the Mountain King,2021,3889
Hillbilly Elegy,2020,3406
History of the World: Part I,1981,2005
Hitman: Agent 47,,578
Hobo with a Shotgun,2011,3234
Hocus Pocus,1993,2704
Hocus Pocus 2,2022,3728
Hollow Man,2000,3011
Holmes & Watson,2018,2178
Holy Smoke,1999,4070
Home,,158
Home Alone,,305
Home Alone 2: Lost in New York,,1635
Home Alone 3,1997,4426
Home on the Range,,114
Home Sweet Home Alone,2021,3105
"Honey, I Blew Up the Kid",1992,3395
"Honey, I Shrunk the Kids",,1714
"Honey, We Shrunk Ourselves!",1997,2148
Hoodwinked Too! Hood vs. Evil,,787
Hoodwinked!,,767
Hook,1991,1655
Hop,2011,227
Horrible Bosses,2011,3135
Horrible Bosses 2,2014,3133
Horton Hears a Who!,,759
Horus: Prince of the Sun,1968,3680
Hot Fuzz,2007,2019
Hot Rod,2007,2502
Hot Tub Time Machine,,700
Hot Tub Time Machine 2,,481
Hotel Transylvania,2012,2184
Hotel Transylvania 2,2015,194
Hotel Transylvania 3: Summer Vacation,2018,1818
Hotel Transylvania 4: Transformania,2022,3268
House Broken,2010,2520
House of 1000 Corpses,2003,4338
House of Gucci,2021,3388
House of Tolerance,2011,3978
House on Haunted Hill,1959,3824
House Party,2023,3907
Housefull 3,,673
How the Grinch Stole Christmas,2000,749
How the Grinch Stole Christmas!,1966,3160
How They Donut: A Matter of Loaf and Death,2009,2782
How to Lose a Guy in 10 Days,2003,3226
How to Train Your Dragon,2010,24
How to Train Your Dragon 2,,76
How to Train Your Dragon: The Hidden World,,1839
Howard Lovecraft and the Frozen Kingdom,,1493
Howard the Duck,1986,803
Howl's Moving Castle,,220
Hubie Halloween,2020,2128
Hugas,2022,3409
Hugo,2011,1881
Hula Fulla Dance,2021,4347
Hulk,2003,811
Human Lost,2019,2870
Hunter X Hunter: Phantom Rouge,,307
Hunter x Hunter: The Last Mission,2013,2065
Hustlers,2019,1966
I Kill Giants,,1796
I Know What You Did Last Summer,1997,3767
"I Love You, Beth Cooper",2009,4264
I Married a Strange Person!,1997,3651
I Now Pronounce You Chuck & Larry,2007,2096
I Spit on Your Grave,1978,3344
I Spit on Your Grave,2010,532
I Still Know What You Did Last Summer,1998,3773
I Want to Eat Your Pancreas,2018,2041
I'll Always Know What You Did Last Summer,2006,3774
"I, Robot",,1488
Ice Age,,196
Ice Age: Collision Course,,444
Ice Age: Continental Drift,,201
Ice Age: Dawn of the Dinosaurs,,202
Ice Age: The Great Egg-Scapade,,211
Ice Age: The Meltdown,,203
Ice Cream Man,1995,4357
Idle Hands,1999,4343
In Search of the Titanict,2004,4171
In the Company of Men,1997,4015
In the Heights,2021,2793
In This Corner (and Other Corners) of the World,2016,3600
In This Corner of the World,,1645
In Time,2011,1636
Inception,,675
Incredibles 2,,1821
Independence Day,,442
Independence Day: Resurgence,,445
Indiana Jones and the Dial of Destiny,2023,4159
Indiana Jones and the Kingdom of the Crystal Skull,,1615
Indiana Jones and the Last Crusade,1989,3921
Indiana Jones and the Temple of Doom,1984,3914
Infestation,2009,2561
Infinite,2021,2771
Infinite Stratos 2: World Purge,2014,3614
Infinity Pool,2023,3896
Inglourious Basterds,2009,3040
Inherent Vice,2014,2531
Initial D: Third Stage,2001,3477
Injustice,2021,3062
Inside Out,,29
Interstellar,,426
Interview with the Vampire: The Vampire Chronicles,1994,3527
Into the Forest,,487
Into the Wild,2007,3144
Into the Woods,,230
InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,2078
InuYasha the Movie 3: Swords of an Honorable Ruler,2003,2798
Inuyasha the Movie 4: Fire on the Mystic Island,2004,2072
Inuyasha the Movie: Affections Touching Across Time,2001,2079
Invader ZIM: Enter the Florpus,2019,2924
Invasion of the Bee Girls,1973,3598
Inventing the Abbotts,1997,3714
Iron Man,,831
Iron Man 2,,1479
Iron Man 3,,833
Iron Man and Hulk: Heroes United,,52
Iron Man: Rise of Technovore,2013,4246
Iron Virgin Jun,1992,3290
Irreversible,,550
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,2019,1971
Isekai Quartet Movie: Another World,2022,3867
Isle of Dogs,2018,2167
It,1990,4321
It,2017,1694
It Chapter Two,2019,3526
It's a Boy Girl Thing,2006,3894
It's a Very Merry Muppet Christmas Movie,,740
It's a Wonderful Life,1946,1867
"It's the Great Pumpkin, Charlie Brown",1966,2995
Jack and the Cuckoo-Clock Heart,2013,4170
Jack Reacher: Never Go Back,,1528
Jackass Forever,2022,3363
Jackass Number Two,2006,3379
James and the Giant Peach,1996,3488
Jane Got a Gun,,488
Jarhead,2005,2023
Jason Bourne,2016,714
Jason X,2001,3587
Jawbreaker,1999,3197
Jaws,1975,2099
Jaws 2,1978,3143
Jaws 3-D,1983,3733
Jay and Silent Bob Reboot,2019,1940
Jay and Silent Bob Strike Back,2001,2149
Jay and Silent Bob's Super Groovy Cartoon Movie,,517
Jeepers Creepers,2001,4311
Jem and the Holograms,2015,3195
Jennifer's Body,2009,1900
Jerry Maguire,1996,3702
Jersey Girl,1992,3326
Jersey Girl,2004,2150
Jesus Christ Superstar,1973,3771
Jetsons: The Movie,,405
Jimmy Neutron: Boy Genius,2001,3546
Jin-Roh: The Wolf Brigade,,368
Jingle All the Way,,1642
Jiu Jitsu,2020,2422
Joe Dirt,,1726
Joe's Apartment,1996,4292
John Carter,2012,4002
John Tucker Must Die,2006,4468
John Wick,,581
John Wick: Chapter 2,2017,1907
John Wick: Chapter 3 - Parabellum,2019,1895
John Wick: Chapter 4,2023,3985
Johnny Corncob,1973,3769
Johnny English,2003,2993
Johnny Mnemonic,1995,2568
Jojo Rabbit,2019,1972
Joker,2019,1931
Jolt,2021,2886
Jonah Hex,2010,2556
Jonah: A VeggieTales Movie,2002,3463
"Josee, the Tiger and the Fish",2020,3983
Joseph: King of Dreams,2000,3490
Josie and the Pussycats,2001,4001
Journey to Saturn,2008,2766
Joy,,490
Joyride,1997,3836
Joysticks,1983,3542
Jude,1996,3837
Judge Dredd,1995,1902
Jujutsu Kaisen 0: The Movie,2021,3750
Jumanji,,295
Jumanji: The Next Level,2019,3950
Jumanji: Welcome to the Jungle,,1750
Jungle Cruise,2021,2887
Jungle Emperor Leo,1997,3682
Junior,1994,3858
Juno,,1537
Jupiter Ascending,,641
Jurassic Park,1993,1708
Jurassic Park III,,1721
Jurassic World,,401
Jurassic World Dominion,2022,3631
Jurassic World: Fallen Kingdom,,1816
Just Friends,2005,3701
Just Go with It,2011,2087
Just Married,2003,4033
Just One of the Guys,1985,2442
Justice League,2017,1845
Justice League Dark,,1472
Justice League vs. Teen Titans,,16
Justice League x RWBY: Super Heroes and Huntsmen Part One,2023,3951
Justice League x RWBY: Super Heroes and Huntsmen Part Two,2023,4353
Justice League: Crisis on Infinite Earths - Part One,2024,4265
Justice League: Crisis on Two Earths,,150
Justice League: Doom,,141
Justice League: Gods and Monsters,,232
Justice League: The Flashpoint Paradox,,149
Justice League: The New Frontier,,148
Justice League: Throne of Atlantis,,147
Justice League: War,,103
Justice League: Warworld,2023,4139
Justice Society: World War II,2021,2719
K-On! The Movie,,363
Kabaneri of the Iron Fortress: The Battle of Unato,2019,2670
Kakegurui,2019,3560
Kase-san and Morning Glories,2018,2803
Kate,2021,2965
Kenji Miyazawa's Night on the Galactic Railroad,1985,1508
Khumba,,172
Kick-Ass,,485
Kick-Ass 2,,528
Kiki's Delivery Service,,225
Kill Bill: Vol. 1,,484
Kill Bill: Vol. 2,,518
Kill the Irishman,2011,3835
Killer Klowns from Outer Space,1988,4324
Killers,2010,3902
Killers of the Flower Moon,2023,4280
Kim Possible: So the Drama,2005,4294
Kimagure Orange Road: I Want to Return to That Day,1988,4173
King Arthur: Legend of the Sword,,1613
King Kong,1933,2620
King Kong,1976,3735
King Kong,2005,3246
King of Thorn,2009,4370
King Richard,2021,3265
Kingpin,,579
Kingsglaive: Final Fantasy XV,,357
Kingsman: The Golden Circle,,1660
Kingsman: The Secret Service,,608
Kirikou and the Sorceress,1998,3485
Kiss the Girls,1997,4074
Kizumonogatari II: Nekketsu-hen,,1588
Kizumonogatari Part 1: Tekketsu,,1587
Kizumonogatari Part 3: Reiketsu,2017,2737
Klaus,2019,1941
Knight and Day,2010,4365
Knight of Cups,,521
Knights of Badassdom,2013,4448
Knock at the Cabin,2023,3906
Knocked Up,2007,2136
Kong: Skull Island,2017,1569
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,2019,2668
Krampus,,397
Krull,1983,2430
Kubo and the Two Strings,,710
Kung Fu and Titties,,1847
Kung Fu Panda,,68
Kung Fu Panda 2,,19
Kung Fu Panda 3,,28
Kung Fu Panda 4,2024,4386
L.A. Confidential,1997,3101
La La Land,,1547
La Piscine,1969,3056
Labyrinth,,1773
Lady and the Tramp,,86
Lady and the Tramp,2019,2960
Lady and the Tramp II: Scamp's Adventure,,130
Lady Bird,2017,3205
Lady Macbeth,2016,3097
Laid in America,,514
Laid-Back Camp Movie,2022,3809
Land of the Lost,2009,3047
Lara Croft Tomb Raider: The Cradle of Life,2003,1938
Lara Croft: Tomb Raider,2001,2693
Lascars,2009,4180
Last Action Hero,1993,2516
Last Looks,2021,3214
Last Man Standing,1996,4048
Last Night in Soho,2021,3109
Last Tango in Paris,1972,3327
Lawless,2012,4425
Lawrence of Arabia,1962,2615
Layer Cake,2004,4463
Lazer Team,,410
Lazer Team 2,2017,2889
Leap!,,1541
Leatherface,2017,4090
Leda: The Fantastic Adventure of Yohko,1985,2810
Legally Blonde,,451
Legend of Crystania: The Motion Picture,1995,4245
Legend of Deification,2020,2797
Legend of the Guardians,2010,11
Legion of Super-Heroes,2022,3880
Lego DC Comics Super Heroes: Justice League: Cosmic Clash,,13
Lego DC Comics Super Heroes: Justice League: Gotham City Breakout,,222
LEGO Friends: Girlz 4 Life,,224
Lego Scooby-Doo! Haunted Hollywood,,20
Lemony Snicket's A Series of Unfortunate Events,,294
Leo,2023,4227
Léon: The Professional,,547
Leprechaun,1993,3613
Leprechaun 2,1994,4297
Leprechaun 3,1995,4298
Leprechaun 4: In Space,1996,4342
Leprechaun 5: In the Hood,2000,4345
Leprechaun: Origins,,695
Leroy & Stitch,2006,2819
Let the Right One In,2008,3014
Lethal Weapon,1987,2032
Lethal Weapon 2,1989,2641
Lethal Weapon 3,1992,2642
Lethal Weapon 4,1998,2645
Liar Liar,,688
Licorice Pizza,2021,3404
Life of Crime,2013,3795
Life of Pi,,684
Lightyear,2022,3632
Lilo & Stitch,,205
Lilo & Stitch 2: Stitch Has a Glitch,,129
Lily C.A.T.,1987,3287
Lincoln,2012,3929
Lisa Frankenstein,2024,4408
Little Fockers,2010,3840
Little Nemo: Adventures in Slumberland,1989,3506
Little Shop of Horrors,,611
Little Women,2019,1969
Live and Let Die,1973,3130
Liz and the Blue Bird,2018,2070
"Lock, Stock and Two Smoking Barrels",1998,3142
Logan,,1554
Logan's Run,1976,3425
LOL,2012,2625
Lolita,1962,508
Lolita,1997,2552
London Has Fallen,2016,3899
Lone Wolf and Cub: Baby Cart at the River Styx,1972,2649
Lone Wolf and Cub: Baby Cart in Peril,1972,2652
Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,2653
Lone Wolf and Cub: Baby Cart to Hades,1972,2651
Lone Wolf and Cub: Sword of Vengeance,1972,2650
Lone Wolf and Cub: White Heaven in Hell,1974,2654
Lonely Castle in the Mirror,2022,4466
Long Way North,2015,2468
Looker,1981,2529
Looking for Magical DoReMi,2020,4470
Looney Tunes: Back in Action,2003,4008
Looper,2012,2536
Lord of War,2005,2036
Lost and Delirious,2001,4066
Lost in Translation,,630
Love Actually,2003,557
Love and Monsters,2020,2173
Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,2019,2064
Love Live! The School Idol Movie,,1512
"Love, Chunibyo & Other Delusions the Movie: Rikka Takanashi Revision",,373
Luca,2021,2813
Luck,2022,3635
Lucky and Zorba,1998,3495
Lucky Number Slevin,2006,2014
Lupin III: Burning Memory - Tokyo Crisis,,1625
Lupin III: Green vs. Red,,1674
Lupin III: Missed by a Dollar,2000,3353
Lupin III: Operation Return the Treasure,2003,2742
Lupin III: The Castle of Cagliostro,,394
Lupin III: The First,2019,2196
Lupin the 3rd: Napoleon's Dictionary,,1679
Lupin the 3rd: The Hemingway Papers,,1678
Lupin the 3rd: The Mystery of Mamo,,625
Lupin the III: Blood Seal ~Eternal Mermaid~,2011,2807
Lupin the IIIrd: Mine Fujiko no Uso,2019,2404
"Lupin the Third: Bye Bye, Lady Liberty",,1646
"Lyle, Lyle, Crocodile",2022,3810
M3GAN,2022,3892
Machete,,509
Machete Kills,2013,2470
Macross Frontier the Movie: The False Songstress,,603
Macross Plus Movie Edition,1995,4368
Macross: Do You Remember Love?,1984,3356
Mad God,2021,3658
Mad Max,,489
Mad Max 2: The Road Warrior,,491
Mad Max Beyond Thunderdome,,492
Mad Max: Fury Road,,493
Madagascar,,65
Madagascar 3: Europe's Most Wanted,,84
Madagascar: Escape 2 Africa,,80
Madame Web,2024,4334
Made in Abyss: Dawn of the Deep Soul,2020,2725
Made in Abyss: Journey's Dawn,2019,2726
Made in Abyss: Wandering Twilight,2019,2724
Magical Girl Lyrical Nanoha the Movie 1st,2010,597
Magnolia,1999,3247
Mai Mai Miracle,,378
Major Grom: Plague Doctor,2021,4236
Making the Grade,1984,3998
Makoto-chan,1980,3677
Maleficent,,272
Maleficent: Mistress of Evil,2019,1934
Malibu Express,1985,3380
Malicious,1973,4300
Mallrats,1995,2503
Mamma Mia!,2008,2513
Mamma Mia! Here We Go Again,2018,2787
Man of Steel,,332
Man on Fire,2004,3025
Man-Thing,,805
Manchester by the Sea,2016,4428
Manhattan,1979,3282
Maniac,1980,4306
Maniac,2012,4046
Maquia: When the Promised Flower Blooms,2018,2060
Mardock Scramble: The Second Combustion,,593
Mardock Scramble: The Third Exhaust,,598
Marie Antoinette,2006,3675
Marriage Story,2019,1978
Mars Express,2023,4442
Mars Needs Moms,,788
Mary and Max,2009,2723
Mary and the Witch's Flower,2017,2425
Mary Poppins Returns,2018,1837
MASH,1970,2101
Mass Effect: Paragon Lost,,1510
Master and Commander: The Far Side of the World,2003,2172
Material Girls,2006,3280
Matilda,,663
Mavka: The Forest Song,2023,4120
Max Steel,,755
Maya the Bee Movie,,179
Maze Runner: The Death Cure,2018,2114
Maze Runner: The Scorch Trials,2015,2115
Mazinger Z: INFINITY,2017,3075
Mean Girls,,1466
Mean Girls,2024,4315
Mean Girls 2,2011,3775
Meatballs,,513
Medieval,2022,3786
Meet the Robinsons,,87
Meet the Spartans,2008,2504
Meg 2: The Trench,2023,4232
Megamind,,74
Megamind vs. The Doom Syndicate,2024,4348
Megan Is Missing,2011,4217
Megazone 23,1985,3645
Megazone 23 Part II: Please Give Me Your Secret,1986,3647
Memento,,554
Memory,2022,3612
Men in Black,,303
Men in Black 3,2012,3156
Men in Black II,2002,3155
Men in Black: International,2019,1897
Mermaid in Paris,2020,3053
Metal Skin Panic MADOX- 01,1987,3640
Metalocalypse: Army of the Doomstar,2023,4158
Metalocalypse: The Doomstar Requiem - A Klok Opera,2013,4429
Metropolis,1927,3953
Metropolis,2001,392
Mia and Me: The Hero of Centopia,2022,3745
Mickey's Christmas Carol,,223
Midnight in the Switchgrass,2021,3663
Midsommar,2019,2476
Mighty Joe Young,1998,2176
Migration,2023,4279
Mike and Dave Need Wedding Dates,2016,535
Milf,2010,3375
Millennium Actress,2001,2799
Miller's Girl,2024,4430
Minions,,27
Minions: The Rise of Gru,2022,3667
Minority Report,2002,3924
Miracle on 34th Street,1947,3168
Miracle on 34th Street,1994,3169
"Miraculous: Ladybug & Cat Noir, the Movie",2023,4228
Mischief,1985,4029
Miss Congeniality,2000,2821
Miss Hokusai,,1648
Miss Peregrine's Home for Peculiar Children,,730
Missing Link,2019,1942
Mission: Impossible,1996,3556
Mission: Impossible - Dead Reckoning Part One,2023,4231
Mission: Impossible - Fallout,2018,3558
Mission: Impossible - Ghost Protocol,2011,3557
Mission: Impossible - Rogue Nation,2015,3554
Mission: Impossible II,2000,2545
Mission: Impossible III,2006,2555
Moana,,1484
Mobile Suit Gundam - Movie I,1981,2755
Mobile Suit Gundam 0083: The Afterglow of Zeon,1992,2795
Mobile Suit Gundam F91,,1516
Mobile Suit Gundam Narrative,2018,2794
